author,commits,added,deleted,files,bugfix_commits,avg_files_per_commit,avg_lines_per_commit,weekend_rate,experience,score,tier
 David Lord,1841,35261,34731,0,244,0.0,38.02,0.21,1840,0.2806443103587017,1
 Markus Heidelberg,2,2,8,0,1,0.0,5.0,0.0,1,0.0004213021757710001,3
 Christian Clauss,1,9,0,0,0,0.0,9.0,0.0,0,0.001095360210752367,3
 ADITYA SAH,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 Hynek Schlawack,1,5,5,0,1,0.0,10.0,0.0,0,0.0008639561534866613,3
 subhajitsaha01,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 Grant Birkinbine,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 kadai0308,1,272,23,0,0,0.0,295.0,1.0,0,0.08587085963858423,1
 Tero Vuotila,1,2,1,0,0,0.0,3.0,0.0,0,0.0003637020730300636,3
 Badhreesh,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 abhiram kamini,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 AJ Jordan,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1
 James Addison,1,15,5,0,0,0.0,20.0,0.0,0,0.0024270438155682993,3
 CoolCat467,1,6,0,0,0,0.0,6.0,0.0,0,0.000730240140501578,3
 black,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 George Waters,1,5,1,0,0,0.0,6.0,0.0,0,0.0007288221432808525,3
 kotvkvante,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1
 zhuangzhuang,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 kurtatter,1,4,1,0,1,0.0,5.0,1.0,0,0.050261094691951586,1
 David,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 bre-17387639,1,22,19,0,1,0.0,41.0,0.0,0,0.004617011584987991,3
 Catarina Bressan,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Grey Li,105,819,368,0,34,0.0,11.3,0.25,104,0.020212417809902076,2
 pre-commit-ci[bot],39,0,0,0,0,0.0,0.0,0.0,38,0.006195652173913043,2
 dependabot[bot],61,190,191,0,0,0.0,6.25,0.26,60,0.023803832497982954,2
 Amirreza A,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 pgjones,49,3926,2272,0,3,0.0,126.49,0.53,48,0.054070398521577356,1
 Heisenberg,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 Jake Tanis,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Éloi Rivard,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 JamesMRamm,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Sviatoslav Sydorenko (Святослав Сидоренко),1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Tony Huang,1,10,1,0,1,0.0,11.0,0.0,0,0.0009913348324531595,3
 Cody Scott,1,4,1,0,1,0.0,5.0,0.0,0,0.00026109469195158145,3
 Ben Huebscher,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 lizard,1,4,1,0,1,0.0,5.0,0.0,0,0.00026109469195158145,3
 Daniel Isaac,1,3,1,0,1,0.0,4.0,0.0,0,0.0001393880018679851,4
 Resistor-git,2,0,0,0,1,0.0,0.0,1.0,1,0.0498170227170152,1
 Arnout Engelen,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Iztok Fister Jr,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 Akinola Abiodun Emmanuel,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 nick2202,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 pavithra,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1
 hauntsaninja,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Pamela Fox,2,0,0,0,0,0.0,0.0,0.5,1,0.02516304347826087,2
 ToolMoney,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 mohammad m. moniri,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Jeroendevr,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Pedro Guilherme S. Moreira,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Lucas Werkmeister,1,3,1,0,1,0.0,4.0,0.0,0,0.0001393880018679851,4
 EtiennePelletier,4,22,148,0,1,0.0,42.5,0.0,3,0.0052865750590649066,2
 emisargent,1,75,38,0,0,0.0,113.0,0.0,0,0.01369897208505882,2
 Adam Dangoor,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 lettow-humain,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Evgeny Mozhaev,1,10,0,0,0,0.0,10.0,1.0,0,0.05121706690083597,1
 martinamca,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 AntoineMath,1,23,5,0,0,0.0,28.0,0.0,0,0.00340069733623707,3
 Maxim G. Ivanov,5,5,3,0,4,0.0,1.6,0.0,4,-0.0005323572372550002,6
 owgreen,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Andrii Kolomoiets,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Bhushan Mohanraj,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Josh Michael Karamuth,1,56,0,0,1,0.0,56.0,0.0,0,0.00646955388343572,2
 Jonah Lawrence,2,16,4,0,0,0.0,10.0,1.0,1,0.05138861836242119,1
 Asif Saif Uddin,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 rayanth,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Dosenpfand,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1
 Abdur-Rahmaan Janhangeer,2,0,0,0,1,0.0,0.0,0.5,1,0.0248170227170152,2
 Mat Steininger,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1
 TehBrian,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Yang Yang,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 Maksim Salau,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 waffle-stomper,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Isaac Woodruff,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Kevin Kirsche,4,16,12,0,1,0.0,7.0,0.0,3,0.0010078184791086373,3
 Thomas Rhines,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 Dillon Barnes,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Oğuzhan Çelikarslan,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 tautv,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Philipp Rohde,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Matthijs van der Vleuten,1,15,1,0,0,0.0,16.0,0.0,0,0.001945889044116816,3
 Yourun-Proger,3,34,6,0,1,0.0,13.33,0.0,2,0.0016317263766427983,3
 Pedro Torcatt,4,0,0,0,2,0.0,0.0,0.25,3,0.01229708891229126,2
 Earl C. Ruby III,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Phil Jones,1,123,76,0,0,0.0,199.0,0.0,0,0.024111863537860538,2
 Ties Jan Hefting,1,2,0,0,0,0.0,2.0,0.0,0,0.00024341338016719267,3
 hankhank10,2,0,0,0,0,0.0,0.0,0.5,1,0.02516304347826087,2
 Dan Mirsky,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Evgeny Prigorodov,1,47,11,0,0,0.0,58.0,0.0,0,0.007043390055420607,2
 Numerlor,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 Nick Kocharhook,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 lecovi,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3
 Stanislav Bushuev,2,13,13,0,0,0.0,13.0,0.0,1,0.001745230449347622,3
 Justin Bull,1,8,2,0,0,0.0,10.0,0.0,0,0.0012142309063945126,3
 Nathan Brown,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Chris Hallacy,1,11,5,0,0,0.0,16.0,0.0,0,0.0019402170552339142,3
 Ivan Sushkov,1,46,37,0,0,0.0,83.0,0.0,0,0.010049189379771655,2
 dzcode,1,92,1,0,0,0.0,93.0,0.0,0,0.011317304180553734,2
 Tim Hoagland,1,55,1,0,0,0.0,56.0,0.0,0,0.006814156647460669,2
 Luis Palacios,1,4,112,0,0,0.0,116.0,0.0,0,0.013959160360975924,2
 Qingpeng Li,1,42,37,0,0,0.0,79.0,0.0,0,0.009562362619437268,2
 Maria Andrea Vignau,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 DailyDreaming,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Bo Bayles,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 James Warne,1,11,1,0,0,0.0,12.0,0.0,0,0.0014590622837824306,3
 Rafael Zimmer,1,8,1,0,1,0.0,9.0,0.0,0,0.0007479214522859668,3
 MeViMo,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3
 LarsMoons,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 octopoulpe,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 uedvt359,1,9,2,0,1,0.0,11.0,0.0,0,0.000989916835232434,3
 Tushar Sadhwani,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Colin Adams,2,0,0,0,2,0.0,0.0,0.0,1,-0.00052899804423048,6
 Mickaël Guérin,1,33,1,0,0,0.0,34.0,0.0,0,0.00413660946562155,3
 Stefane Fermigier,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 K900,1,15,6,0,0,0.0,21.0,0.0,0,0.0025473325084311702,3
 Cameron Dahl,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 otherJL0,1,155,0,0,0,0.0,155.0,0.0,0,0.018864536962957434,2
 olliemath,1,12,3,0,0,0.0,15.0,1.0,0,0.05182134635959178,1
 Jürgen Gmach,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Henry Kobin,2,7,4,0,0,0.0,5.5,0.5,1,0.025834557269551736,2
 Bojan Delić,1,2,8,0,1,0.0,10.0,0.0,0,0.000859702161824485,3
 Chenwei Xiao,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 Ryan Nevius,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 karintou8710,1,4,4,0,1,0.0,8.0,1.0,0,0.0506219607705402,1
 Matthias Paulsen,1,105,26,0,0,0.0,131.0,0.0,0,0.01590670847321226,2
 Makonede,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Seth Rutner,1,5,6,0,1,0.0,11.0,0.0,0,0.0009842448463495321,3
 Kasper Primdal Lauritzen,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 Mindiell,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6
 nabbisen,1,2,2,0,0,0.0,4.0,1.0,0,0.05048399076589294,1
 Emil Sadek,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1
 na2shell,1,26,12,0,0,0.0,38.0,0.0,0,0.0046078382565279555,3
 Rohan salwan,1,16,8,0,0,0.0,24.0,0.0,0,0.0029096165842405087,3
 default-303,2,21,4,0,1,0.0,12.5,1.0,1,0.051350409319436324,1
 Angeline,1,45,41,0,0,0.0,86.0,0.0,0,0.010408637461139542,2
 Karuna Tata,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 kaushik kothiya,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Elahi-cs,1,2,2,0,1,0.0,4.0,0.0,0,0.0001379700046472597,4
 Frank Yu,7,0,0,0,0,0.0,0.0,0.14,6,0.007978260869565218,2
 Adrian Moennich,9,87,65,0,2,0.0,16.89,0.56,8,0.030767348084252615,2
 Hugo Montenegro,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4
 Pascal Corpet,2,41,14,0,0,0.0,27.5,0.0,1,0.0035291204180395623,3
 Miguel Grinberg,7,105,14,0,3,0.0,17.0,0.14,6,0.009133996072673171,2
